Name;Value;Language
"abt__ut2.banner.params.products_links_thumb_rows.one";"In one row (with navigation)";"ar"
"abt__ut2.banner.params.products_list";"Select products";"ar"
"abt__ut2.banner.params.products_small_items_columns";"Columns";"ar"
"abt__ut2.banner.params.products_small_items_columns.tooltip";"Select the number of columns, visible products in a row. The displayed number of products may differ from the specified one. It depends on the content area in the banner, as well as its adaptive state.";"ar"
"abt__ut2.banner.params.products_small_items_rows";"Rows";"ar"
"abt__ut2.banner.params.products_small_items_rows.all";"Unlimited";"ar"
"abt__ut2.banner.params.products_small_items_rows.one";"In one row (with navigation)";"ar"
"abt__ut2.banner.params.products_template";"Template";"ar"
"abt__ut2.banner.params.tablet_use";"Use own settings for Tablets";"ar"
"abt__ut2.banner.params.tablet_use.tooltip";"Use this option to allow own banner settings for the mobile device Tablet. The tab with appropriate settings will appear only after saving the banner with the set checkbox";"ar"
"abt__ut2.banner.params.title";"Title";"ar"
"abt__ut2.banner.params.title_color";"Title color";"ar"
"abt__ut2.banner.params.title_color.tooltip";"Please select the checkbox to use a new color";"ar"
"abt__ut2.banner.params.title_font_size";"Font size";"ar"
"abt__ut2.banner.params.title_font_weight";"Font weight";"ar"
"abt__ut2.banner.params.title_font_weight.variants.300";"Thin";"ar"
"abt__ut2.banner.params.title_font_weight.variants.400";"Normal";"ar"
"abt__ut2.banner.params.title_font_weight.variants.700";"Bold";"ar"
"abt__ut2.banner.params.title_font_weight.variants.900";"Heavy";"ar"
"abt__ut2.banner.params.title_shadow";"Add a shadow for the title";"ar"
"abt__ut2.banner.params.title_tag";"Title tag";"ar"
"abt__ut2.banner.params.title_tag.variants.div";"div";"ar"
"abt__ut2.banner.params.title_tag.variants.h1";"h1";"ar"
"abt__ut2.banner.params.title_tag.variants.h2";"h2";"ar"
"abt__ut2.banner.params.title_tag.variants.h3";"h3";"ar"
"abt__ut2.banner.params.url";"Specify link";"ar"
"abt__ut2.banner.params.usergroups";"User groups";"ar"
"abt__ut2.banner.params.use_avail_period";"Use available period";"ar"
"abt__ut2.banner.params.youtube_autoplay";"Autoplay";"ar"
