vendor,language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
Zagzoog,EN,ARSG30CLTAZ,Cool duct Inv 30000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/8a507b91-ea3f-44a2-8d82-6d4cde5a6bb6.jpeg""></p>",,11155,7299,,,5,10,https://zagzoog.com/uploads/project_thumb/1079-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1079-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1079-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1079-Zagzoog_image_4.jpg
Zagzoog,EN,AUSA50URTBZ,Hot/Cool Cast 41000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/91c46e73-81e4-4759-8f3b-a6ac8d86ea2a.jpeg""></p>",,18975,12399,,,5,10,https://zagzoog.com/uploads/project_thumb/603-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/603-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/603-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/603-Zagzoog_image_25.jpg
Zagzoog,EN,AUSA50FRTBZ,Cool Cast 41000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/5264b9a2-a19b-41f9-822f-6797f03a5c32.jpeg""></p>",,18400,12129,,,5,10,https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_14.jpg///https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_15.jpg///https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_16.jpg///https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_17.jpg///https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_18.jpg///https://zagzoog.com/uploads/project_thumb/602-Zagzoog_image_19.jpg
Zagzoog,EN,ZFR480SM,"UP/Frz 17Cf,481L,Am/Style-St",Electronics & Digital Products///Electronics,Z Trust,"<p><img src=""https://is2or.com/images/products/description_image/07b6d06f-7aa4-4863-8f2e-b0b9cba5c186.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_16.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_17.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_18.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_19.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_20.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_21.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_25.jpg///https://zagzoog.com/uploads/project_thumb/898-Zagzoog_image_26.jpg
Zagzoog,EN,ARSG36CLTAZ,Cool Duct Inverter 35000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/73f96254-709b-430e-9ffd-8bf2018f2a93.jpeg""></p>",,14030,9199,,,5,10,https://zagzoog.com/uploads/project_thumb/1080-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1080-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1080-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1080-Zagzoog_image_4.jpg
Zagzoog,EN,ARSG48CMTAZ,Cool Duct Inverter 48000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/11fdb3e7-c80a-47e3-87b2-495bc3caea7e.jpeg""></p>",,15180,9899,,,5,10,https://zagzoog.com/uploads/project_thumb/1081-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1081-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1081-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1081-Zagzoog_image_4.jpg
Zagzoog,EN,ASSA36FUTBZ,Cool wall 34200 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/7cf58bab-6630-40fe-adca-53465eaf0a66.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/559-Zagzoog_image_25.jpg///https://zagzoog.com/uploads/project_thumb/559-Zagzoog_image_26.jpg///https://zagzoog.com/uploads/project_thumb/559-Zagzoog_image_27.jpg///https://zagzoog.com/uploads/project_thumb/559-Zagzoog_image_28.jpg///https://zagzoog.com/uploads/project_thumb/559-Zagzoog_image_29.jpg
Zagzoog,EN,ASSA24FUTAZ,Cool wall 24000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/74f1d5b4-1375-416b-867b-a46561c835bf.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/555-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/555-Zagzoog_image_25.jpg///https://zagzoog.com/uploads/project_thumb/555-Zagzoog_image_26.jpg///https://zagzoog.com/uploads/project_thumb/555-Zagzoog_image_27.jpg///https://zagzoog.com/uploads/project_thumb/555-Zagzoog_image_28.jpg
Zagzoog,EN,ARSA25FMTBZ,Cool Duct 22900 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/6534b4eb-093a-49f1-ab9a-fd6117336ebc.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/587-Zagzoog_image_30.jpg///https://zagzoog.com/uploads/project_thumb/587-Zagzoog_image_31.jpg///https://zagzoog.com/uploads/project_thumb/587-Zagzoog_image_32.jpg///https://zagzoog.com/uploads/project_thumb/587-Zagzoog_image_33.jpg
Zagzoog,EN,ARSA25UMTBZ,Hot/Cool Duct 22900 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/46162c65-0e4f-4975-b7cd-09e07e9a0b5e.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/588-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/588-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/588-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/588-Zagzoog_image_25.jpg
