CategoryCode;CategoryPath;Language;CategoryId
"764";"Packaging & Shipping///Tape & Wraps";"en";"764"
"765";"Packaging & Shipping///Bubble Wrap & Fillers";"en";"765"
"766";"Packaging & Shipping///Labels & Stickers";"en";"766"
"767";"Packaging & Shipping///Pallets & Containers";"en";"767"
"768";"Safety Gear & PPE///Helmets & Headgear";"en";"768"
"769";"Safety Gear & PPE///Gloves";"en";"769"
"770";"Safety Gear & PPE///Safety Glasses";"en";"770"
"771";"Safety Gear & PPE///Work Boots";"en";"771"
"772";"Safety Gear & PPE///Masks & Respirators";"en";"772"
"773";"Safety Gear & PPE///Fire Safety & First Aid";"en";"773"
"781";"Restaurant & Hotel Supplies///Disposable Items";"en";"781"
"782";"Restaurant & Hotel Supplies///Kitchen Equipment";"en";"782"
"783";"Restaurant & Hotel Supplies///Cookware & Tools";"en";"783"
"784";"Restaurant & Hotel Supplies///Food Storage";"en";"784"
"785";"Restaurant & Hotel Supplies///Tableware & Serving";"en";"785"
"786";"Restaurant & Hotel Supplies///Cleaning & Hygiene";"en";"786"
"787";"Industrial & Workshop Supplies///Lubricants & Fluids";"en";"787"
"788";"Industrial & Workshop Supplies///Welding & Repair Tools";"en";"788"
"789";"Industrial & Workshop Supplies///Compressors & Pumps";"en";"789"
"790";"Industrial & Workshop Supplies///Ladders & Platforms";"en";"790"
"791";"Industrial & Workshop Supplies///Tool Kits & Storage";"en";"791"
"792";"Auto & Workshop Needs///Car Batteries & Tires";"en";"792"
"793";"Auto & Workshop Needs///Engine Oils & Fluids";"en";"793"
"794";"Auto & Workshop Needs///Car Cleaning Products";"en";"794"
"795";"Auto & Workshop Needs///Spare Parts";"en";"795"
"796";"Auto & Workshop Needs///Tools & Lifts";"en";"796"
"797";"Cleaning & Maintenance///Floor & Surface Cleaners";"en";"797"
"798";"Cleaning & Maintenance///Mops";"en";"798"
"799";"Cleaning & Maintenance///Brooms & Buckets";"en";"799"
"800";"Cleaning & Maintenance///Trash Bins & Bags";"en";"800"
"801";"Cleaning & Maintenance///Air Fresheners";"en";"801"
"802";"Cleaning & Maintenance///Bathroom Supplies";"en";"802"
"803";"IT & Electronics///Laptops & Screens";"en";"803"
"804";"IT & Electronics///Keyboards & Mice";"en";"804"
"805";"IT & Electronics///Routers & Cables";"en";"805"
"806";"IT & Electronics///Projectors & Accessories";"en";"806"
"807";"IT & Electronics///CCTV & Security";"en";"807"
"808";"Retail & Shop Supplies///Display Racks";"en";"808"
"809";"Retail & Shop Supplies///Shopping Carts";"en";"809"
"810";"Retail & Shop Supplies/// POS Systems";"en";"810"
"811";"Retail & Shop Supplies///Labeling & Price Tags";"en";"811"
"812";"Clinic & Medical Supplies///Gloves & Masks";"en";"812"
"813";"Clinic & Medical Supplies/// Sanitizers & Cleaners";"en";"813"
"814";"Clinic & Medical Supplies/// Basic Medical Tools";"en";"814"
"815";"Clinic & Medical Supplies///Uniforms & Scrubs";"en";"815"
"816";"Clinic & Medical Supplies/// Beds & Exam Tables";"en";"816"
"292";"Paintings///Figurative / Portrait";"en";"827"
"293";"Paintings///Landscape & Nature";"en";"828"
"294";"Paintings///Islamic / Cultural";"en";"829"
"295";"Paintings///Minimalist / Geometric";"en";"830"
"296";"Paintings///Mixed Media";"en";"831"
"297";"Paintings///Expressionist";"en";"832"
"298";"Paintings///Still Life";"en";"833"
"299";"Paintings///Large Format";"en";"834"
"300";"Paintings///Miniature Paintings";"en";"835"
"301";"Paintings///Arabic Calligraphy";"en";"836"
"302";"Calligraphy///Modern Calligraphy";"en";"837"
"303";"Calligraphy///Islamic Verses";"en";"838"
"304";"Calligraphy///Contemporary Lettering";"en";"839"
"305";"Calligraphy///Hand-Engraved Calligraphy";"en";"840"
"306";"Calligraphy///Decorative Calligraphy Panels";"en";"841"
"307";"Calligraphy///3D Calligraphy Art";"en";"842"
"308";"Calligraphy///Limited Edition Calligraphy Prints";"en";"843"
"309";"Calligraphy///Canvas Prints";"en";"844"
"310";"Prints///Fine Art Prints";"en";"845"
"311";"Prints///Limited Edition Prints";"en";"846"
"312";"Prints///Poster Prints";"en";"847"
"313";"Prints///Framed Prints";"en";"848"
"314";"Prints///Digital Illustration Prints";"en";"849"
"315";"Prints///Typography & Quote Prints";"en";"850"
"316";"Prints///Photography Prints";"en";"851"
"317";"Prints///Black & White";"en";"852"
"318";"Photography///Urban & Street Life";"en";"853"
"319";"Photography///Portraits & People";"en";"854"
"320";"Photography///Landscape & Nature";"en";"855"
"321";"Photography///Architecture & Heritage";"en";"856"
"322";"Photography///Conceptual / Fine Art Photography";"en";"857"
"323";"Photography///Cultural Events & Moments";"en";"858"
"324";"Photography///Aerial / Drone Photography";"en";"859"
"325";"Sculpture///Wood Carving";"en";"860"
"326";"Sculpture///Stone / Marble";"en";"861"
"327";"Sculpture///Metal / Bronze";"en";"862"
"328";"Sculpture///Clay / Ceramic";"en";"863"
"329";"Sculpture///Mixed Material Sculptures";"en";"864"
"330";"Sculpture///Contemporary Installations";"en";"865"
"331";"Sculpture///Mini Sculptures";"en";"866"
"332";"Sculpture///Wall-Mounted Sculptures";"en";"867"
"333";"Sculpture///Floor or Garden Sculptures";"en";"868"
"334";"Drawings///Pencil / Graphite Drawings";"en";"869"
"335";"Drawings///Ink & Pen Work";"en";"870"
"336";"Drawings///Charcoal Sketches";"en";"871"
"337";"Drawings///Colored Pencil / Pastel Drawings";"en";"872"
"338";"Drawings///Minimal Line Art";"en";"873"
"339";"Drawings///Illustration-Style Drawings";"en";"874"
"340";"Drawings///Figure Studies & Anatomy";"en";"875"
"341";"Drawings///Abstract Sketches";"en";"876"
"342";"Handicraft///Embroidered Wall Art";"en";"877"
"343";"Handicraft///Hand-Painted Ceramics";"en";"878"
"344";"Handicraft///Mosaic & Tile-Inspired Art";"en";"879"
"345";"Handicraft///Woven Wall Hangings";"en";"880"
"346";"Handicraft///Handmade Art Frames";"en";"881"
"347";"Handicraft///Painted Pottery";"en";"882"
"348";"Handicraft///Wooden Calligraphy Decor";"en";"883"
"349";"Handicraft///Recycled Art & Eco Craft";"en";"884"
"350";"Handicraft///Heritage Craft Inspired";"en";"885"
"886";"Paintings///Abstract";"en";"886"
"887";"Calligraphy///Arabic Calligraphy";"en";"887"
"888";"Prints///Canvas Prints";"en";"888"
