language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
ar,DAN-35268,ميراتورج خضار مجمدة مكسيكية ٤٠٠غرام,Supermarket///Retail///Fruits & Vegetables,ميراتورج,ميراتورج خضار مجمدة مكسيكية ٤٠٠غرام,Miratorg Frozen Vegetables Mexican Mix 400g,10.95,10.95 SAR,piece,0.4,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/130/product/461008595302.png
en,DAN-47582,Salud Avocado Halves 500g,Supermarket///Retail///Fruits & Vegetables,Salud,Salud Avocado Halves 500g,Salud Avocado Halves 500g,29.95,29.95 SAR,piece,0.75,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/086/749/product/93AVC12K500_-_Avocado_halves_1920px_10441695.jpg
ar,DAN-47582,سالود افوكادو انصاف مجمد ٥٠٠غرام,Supermarket///Retail///Fruits & Vegetables,سالود,سالود افوكادو انصاف مجمد ٥٠٠غرام,Salud Avocado Halves 500g,29.95,29.95 SAR,piece,0.75,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/086/749/product/93AVC12K500_-_Avocado_halves_1920px_10441695.jpg
en,DAN-35272,Miratorg Marbled Beef Dumplings Black Angus 800g,Supermarket///Retail///Packaged Products,Miratorg,Miratorg Marbled Beef Dumplings Black Angus 800g,Miratorg Marbled Beef Dumplings Black Angus 800g,38.75,38.75 SAR,piece,1.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/134/product/461009548117.png
ar,DAN-35272,ميراتورج زلابية بلحم الانجوس ٨٠٠غرام,Supermarket///Retail///Packaged Products,ميراتورج,ميراتورج زلابية بلحم الانجوس ٨٠٠غرام,Miratorg Marbled Beef Dumplings Black Angus 800g,38.75,38.75 SAR,piece,1.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/134/product/461009548117.png
en,DAN-35271,Miratorg Veal Dumplings 800g,Supermarket///Retail///Packaged Products,Miratorg,Miratorg Veal Dumplings 800g,Miratorg Veal Dumplings 800g,40.25,40.25 SAR,piece,1.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/133/product/461009548114.png
ar,DAN-35271,ميراتورج زلابية بلحم العجل ٨٠٠غرام,Supermarket///Retail///Packaged Products,ميراتورج,ميراتورج زلابية بلحم العجل ٨٠٠غرام,Miratorg Veal Dumplings 800g,40.25,40.25 SAR,piece,1.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/060/133/product/461009548114.png
en,DAN-13585,Mbeauty Foot Pack Intensive Treatment 1pc,Health & Beauty///Beauty///Personal Grooming,Mbeauty,Mbeauty Foot Pack Intensive Treatment 1pc,Mbeauty Foot Pack Intensive Treatment 1pc,13.75,13.75 SAR,piece,0.02,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/015/426/product/880927316012.jpg
ar,DAN-13585,ام بيوتي جوارب المعالجة المكثفة للقدم ١قطعة,Health & Beauty///Beauty///Personal Grooming,ام بيوتي,ام بيوتي جوارب المعالجة المكثفة للقدم ١قطعة,Mbeauty Foot Pack Intensive Treatment 1pc,13.75,13.75 SAR,piece,0.02,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/015/426/product/880927316012.jpg
en,DAN-45220,Vaseline Foot Cream Deep Moisture 55g,Health & Beauty///Beauty///Personal Grooming,Vaseline,Vaseline Foot Cream Deep Moisture 55g,Vaseline Foot Cream Deep Moisture 55g,23.0,23.0 SAR,piece,0.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/078/536/product/880161904827.jpg
