language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,19736-63,Almarai Juice Mixed Fruit & Lemon 1.4 L,Supermarket///Retail///Beverages,,,Almarai Juice Mixed Fruit & Lemon,7.5,7.5,piece,,30,1.13,https://go.farm.com.sa/public/uploads/items/19736/thumbnail_1747159000.webp
en,19745-3027,Dole Juice Pineapple And Orange 250 ML X 4,Supermarket///Retail///Beverages,,,Dole Juice Pineapple And Orange,12.95,12.95,piece,,10000,1.94,https://go.farm.com.sa/public/uploads/items/19745/thumbnail_1747159000.webp
en,19746-59,Kdd Natural Mango Juice 180 ML × 24,Supermarket///Retail///Beverages,,,Kdd Natural Mango Juice,35.0,35,piece,,29,5.25,https://go.farm.com.sa/public/uploads/items/19746/thumbnail_1747159000.webp
en,19755-1168,Pepsi Soft Drink Diet 150 ML × 12,Supermarket///Retail///Beverages,,,Pepsi Soft Drink Diet,23.5,23.5,piece,,994,3.53,https://go.farm.com.sa/public/uploads/items/19755/thumbnail_1747159000.webp
en,19758-1168,Mirinda Soft Drink Orange 150 ML × 12,Supermarket///Retail///Beverages,,,Mirinda Soft Drink Orange,23.5,23.5,piece,,999,3.53,https://go.farm.com.sa/public/uploads/items/19758/thumbnail_1747159000.webp
en,19760-1168,Pepsi Soft Drink Max Minis 150 ML × 12,Supermarket///Retail///Beverages,,,Pepsi Soft Drink Max Minis,19.95,19.95,piece,,76,2.99,https://go.farm.com.sa/public/uploads/items/19760/thumbnail_1747159000.webp
en,19773-1713,Coca Cola Soft Drink Light 355 ML x 12,Supermarket///Retail///Beverages,,,Coca Cola Soft Drink Light,34.95,34.95,piece,,139,5.24,https://go.farm.com.sa/public/uploads/items/19773/thumbnail_1747159000.webp
en,19775-1713,Coca Cola Soft Drink Zero 355 ML x 12,Supermarket///Retail///Beverages,,,Coca Cola Soft Drink Zero,34.95,34.95,piece,,169,5.24,https://go.farm.com.sa/public/uploads/items/19775/thumbnail_1747159000.webp
en,19981-36,FANTA CITRUS DRINK 2.2 L,Supermarket///Retail///Beverages,,,FANTA CITRUS DRINK,44.95,44.95,piece,,5,6.74,https://go.farm.com.sa/public/uploads/items/19981/thumbnail_1747159257.webp
en,20076-65,CAPRI SUN DRINK STRAWBERRY 200 ML × 10,Supermarket///Retail///Beverages,,,CAPRI SUN DRINK STRAWBERRY,17.95,17.95,piece,,33,2.69,https://go.farm.com.sa/public/uploads/items/20076/thumbnail_1747159257.webp
en,20077-1334,Cofique Iced Coffee With Coconut 24 G × 10,Supermarket///Retail///Beverages,,,Cofique Iced Coffee With Coconut,39.95,39.95,piece,,5,5.99,https://go.farm.com.sa/public/uploads/items/20077/thumbnail_1747159257.webp
en,20078-65,CAPRI SUN DRINK MANGO 200 ML × 10,Supermarket///Retail///Beverages,,,CAPRI SUN DRINK MANGO,17.95,17.95,piece,,26,2.69,https://go.farm.com.sa/public/uploads/items/20078/thumbnail_1747159257.webp
en,20080-1334,Cofique Iced Coffee White Mocha 24 G × 10,Supermarket///Retail///Beverages,,,Cofique Iced Coffee White Mocha,39.95,39.95,piece,,58,5.99,https://go.farm.com.sa/public/uploads/items/20080/thumbnail_1747159257.webp
en,20081-1202,Suntop Nectar With Grapes and Mango Without Adding Sugar 180 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar With Grapes and Mango Without Adding Sugar,26.95,26.95,piece,,9,4.04,https://go.farm.com.sa/public/uploads/items/20081/thumbnail_1747159257.webp
en,20082-1202,Suntop Nectar Berry Mix No Added Sugar 180 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar Berry Mix No Added Sugar,26.95,26.95,piece,,7,4.04,https://go.farm.com.sa/public/uploads/items/20082/thumbnail_1747159257.webp
en,20085-1202,Suntop Nectar Orange & Peach No Added Sugar 180 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar Orange & Peach No Added Sugar,26.95,26.95,piece,,6,4.04,https://go.farm.com.sa/public/uploads/items/20085/thumbnail_1747159257.webp
en,20107-1167,Mountain Dew Soft Drink 2.25 L × 6,Supermarket///Retail///Beverages,,,Mountain Dew Soft Drink,53.95,53.95,piece,,22,8.09,https://go.farm.com.sa/public/uploads/items/20107/thumbnail_1747159257.webp
en,20444-445,Suntop Nectar Red Apple And Grape No Added Sugar 125 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar Red Apple And Grape No Added Sugar,12.5,12.5,piece,,10,1.88,https://go.farm.com.sa/public/uploads/items/20444/thumbnail_1747159257.webp
en,20445-445,Suntop Nectar Mango & Grape No Added Sugar 125 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar Mango & Grape No Added Sugar,12.5,12.5,piece,,17,1.88,https://go.farm.com.sa/public/uploads/items/20445/thumbnail_1747159257.webp
